,APO,,DATA,,,Global,Critical Data,Data documentation,Data governance,Data privacy,Data quality,Datalake Integration,Reference data,,,,,,,,,,,,,,,
,APO,,STREAMING,,,Global,Event Streams,Infrastructure,Observability,Security,,,,,,,,,,,,,,,,,,
,,Last Released Assessment,STREAMING,null,Score,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,Last Released Assessment,STREAMING,null,Level,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,Last Released Assessment -1,STREAMING,null,Score,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,Last Released Assessment -1,STREAMING,null,Level,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,STREAMING,null,Percentage,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,STREAMING,null,Percentage,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,APO,,ACCESSIBILITY,,,Global,Accessibility,,,,,,,,,,,,,,,,,,,,,
,,Last Released Assessment,ACCESSIBILITY,null,Score,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Released Assessment,ACCESSIBILITY,null,Level,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Released Assessment -1,ACCESSIBILITY,null,Score,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Released Assessment -1,ACCESSIBILITY,null,Level,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,ACCESSIBILITY,null,Percentage,0,0,,,,,,,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,ACCESSIBILITY,null,Percentage,0,0,,,,,,,,,,,,,,,,,,,,,
,AVAILABLE_SHIPMENT,Sebastien Guisse,DATA,,,Global,Critical Data,Data documentation,Data governance,Data privacy,Data quality,Datalake Integration,Reference data,,,,,,,,,,,,,,,
,,Last Released Assessment,DATA,2025-12-10,Score,"2,167",0,"2,5","1,5",0,"1,25",0,"3,75",,,,,,,,,,,,,,,
,,Last Released Assessment,DATA,2025-12-10,Level,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DATA,2025-04-11,Score,"2,167",0,"2,5","1,5",0,"1,25",0,"3,75",,,,,,,,,,,,,,,
,,Last Released Assessment -1,DATA,2025-04-11,Level,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DATA,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DATA,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,AVAILABLE_SHIPMENT,Sebastien Guisse,DELIVERY,,,Global,Accelerate,Application Configuration Management,Chaos Engineering,Continous Integration,Continuous Deployment,Database Control,Documentation,Service Availability,Workflows,,,,,,,,,,,,,
,,Last Released Assessment,DELIVERY,2025-12-10,Score,"3,746",5,5,"3,333",5,"3,667","3,333",0,3,0,,,,,,,,,,,,,
,,Last Released Assessment,DELIVERY,2025-12-10,Level,1,5,4,4,2,2,2,0,3,0,,,,,,,,,,,,,
,,Last Released Assessment -1,DELIVERY,2025-04-11,Score,"3,746",5,5,"3,333",5,"3,667","3,333",0,3,0,,,,,,,,,,,,,
,,Last Released Assessment -1,DELIVERY,2025-04-11,Level,1,5,4,4,2,2,2,0,3,0,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DELIVERY,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DELIVERY,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,AVAILABLE_SHIPMENT,,DESIGN,,,Global,Design,Design for all,Documentation,Libraries & plugins,Prototype,Tools,Workflow,,,,,,,,,,,,,,,
,,Last Released Assessment,DESIGN,null,Score,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment,DESIGN,null,Level,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DESIGN,null,Score,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Released Assessment -1,DESIGN,null,Level,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,DESIGN,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,DESIGN,null,Percentage,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
,AVAILABLE_SHIPMENT,Sebastien Guisse,DEV,,,Global,API,Analytics,Architecture Decision Record,Authentication,BFF,Business & strategy,Code Management,Data Factory,Data Management,Delivery,Design System,Documentation,Model Management,Observability,Performance,Reliability,Software Design,Source Control,System Design Documents,Team,Tech Radar,Versionning
,,Last Released Assessment,DEV,2025-12-10,Score,"3,679","3,75",0,0,0,0,0,0,0,0,0,0,0,0,5,0,"3,5",0,"3,75",0,5,5,0
,,Last Released Assessment,DEV,2025-12-10,Level,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,3,4,0
,,Last Released Assessment -1,DEV,2025-04-11,Score,"3,679","3,75",0,0,0,0,0,0,0,0,0,0,0,0,5,0,"3,5",0,"3,75",0,5,5,0
,,Last Released Assessment -1,DEV,2025-04-11,Level,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,3,4,0
,,Last Pending Assessment snapshot,DEV,null,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Last Pending Assessment snapshot -1,DEV,null,Percentage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AVAILABLE_SHIPMENT,Sebastien Guisse,INFRA,,,Global,Cloud Native Design,Configuration / Infra Management,Database Management,Hosting Solution,Reproducibility,Secrets Management,Security,Storage Management (for unstructured data),,,,,,,,,,,,,,
,,Last Released Assessment,INFRA,2025-12-10,Score,4,5,5,4,5,0,4,0,5,,,,,,,,,,,,,,
,,Last Released Assessment,INFRA,2025-12-10,Level,4,4,3,4,4,0,4,0,3,,,,,,,,,,,,,,
,,Last Released Assessment -1,INFRA,2025-04-11,Score,4,5,5,4,5,0,4,0,5,,,,,,,,,,,,,,
,,Last Released Assessment -1,INFRA,2025-04-11,Level,4,4,3,4,4,0,4,0,3,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,INFRA,null,Percentage,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,Last Pending Assessment snapshot -1,INFRA,null,Percentage,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,AVAILABLE_SHIPMENT,Sebastien Guisse,OPERATION,,,Global,Availability / Risk Management,Change Management,Event Management,Incident Management,Knowledge / Continuous Improvement Management,Problem Management,Service Catalog Management,Service Level Management,Service Request Management,,,,,,,,,,,,,
,,Last Released Assessment,OPERATION,2025-12-10,Score,"4,611","3,542","4,083",5,"4,688",5,5,5,"4,688",5,,,,,,,,,,,,,
,,Last Released Assessment,OPERATION,2025-12-10,Level,2,2,2,5,3,5,5,4,4,5,,,,,,,,,,,,,
,,Last Released Assessment -1,OPERATION,2025-04-11,Score,"4,611","3,542","4,083",5,"4,688",5,5,5,"4,688",5,,,,,,,,,,,,,
,,Last Released Assessment -1,OPERATION,2025-04-11,Level,2,2,2,5,3,5,5,4,4,5,,,,,,,,,,,,,
,,Last Pending Assessment snapshot,OPERATION,null,Percentage,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
